label,text
ham,"Hey, are we still meeting for lunch tomorrow at noon?"
spam,"CONGRATULATIONS! You've won a $1,000,000 prize! Click here to claim NOW!!!"
ham,"Please find the attached quarterly report for your review."
spam,"FREE VIAGRA! Buy now and get 80% off. Limited time offer!!!"
ham,"Can you send me the updated project files when you get a chance?"
spam,"You have been selected for a CASH PRIZE of $500,000. Reply with your bank details."
ham,"Don't forget the team standup at 10am on Monday."
spam,"Make money fast from home! Earn $5000 per week guaranteed! No experience needed!"
ham,"Thanks for your help with the presentation yesterday, it went really well."
spam,"URGENT: Your account has been compromised. Click here to verify your details immediately!"
ham,"I'll be a bit late to the meeting today, traffic is really bad."
spam,"Hot singles in your area are waiting to chat with you tonight! Click here!"
ham,"The invoice for last month is attached. Please process it by end of week."
spam,"Win a FREE iPhone 15 Pro! You are our lucky winner today. Claim your prize NOW!"
ham,"Can we reschedule our call to Thursday instead of Wednesday?"
spam,"Lose 30 pounds in just 30 days! Our miracle pill is GUARANTEED to work!"
ham,"I reviewed the code and left some comments in the pull request."
spam,"Nigerian Prince needs urgent help! Send $500 and receive $50,000 in return!"
ham,"The quarterly report is now ready for your final review and approval."
spam,"CHEAP MEDS online! No prescription needed. Order now and save 90% off retail!"
ham,"Let me know if you need any clarification on the budget proposal."
spam,"You have a pending package delivery. Pay $2.99 handling fee to release it NOW!"
ham,"Great work on the client presentation today, they loved the new designs!"
spam,"Earn $1000 per day working from home! No experience needed. Start today free!"
ham,"I'll send you the signed contract as soon as legal finishes reviewing it."
spam,"ALERT: Unusual login detected on your account. Verify immediately at secure-login.xyz"
ham,"Are you free for a quick 15 minute call this afternoon around 3pm?"
spam,"Buy fake diplomas and university degrees online! Any university, delivered in days!"
ham,"The new feature has been deployed to staging, please test it when you can."
spam,"You owe back taxes! Call immediately or face ARREST. IRS Final Notice Warning!"
ham,"Reminder: your dentist appointment is tomorrow at 2:30pm. Please confirm."
spam,"Replica luxury watches and designer bags. 95% cheaper than authentic retail prices!"
ham,"I've updated the slides based on your feedback from last week's meeting."
spam,"FREE credit score check! Enter your SSN and bank details to see your score instantly."
ham,"The client loved the product demo and they want to move forward with the contract."
spam,"CASINO BONUS: $1000 free chips for new members! No deposit required to start!"
ham,"Can you please cover my shift on Friday evening? I have a family commitment."
spam,"Your PayPal account is limited! Verify immediately at paypal-secure-update.net now!"
ham,"The bug fix is complete and ready for code review in the feature branch."
spam,"Singles near you are looking to meet! Join completely FREE dating site right now!"
ham,"Please RSVP for the company holiday party by end of this week if you can attend."
spam,"Work from home data entry jobs! Earn $500 per day with absolutely no experience!"
ham,"I sent the meeting notes and action items to the whole team this morning."
spam,"FINAL NOTICE: Pay your outstanding debt now or face immediate legal action!"
ham,"Let's grab coffee and properly catch up sometime next week when you're free."
spam,"Herbal supplement scientifically proven to cure diabetes, cancer and heart disease!"
ham,"The new employee onboarding documentation is ready for HR review."
spam,"Your Windows computer has a critical virus! Call Microsoft support at 1-800-FAKE now!"
ham,"I'll have the financial analysis completed and ready to share by end of day tomorrow."
spam,"Congratulations! Your email address was randomly selected in our monthly lottery draw!"
ham,"Could you review this document before I send it to the client tomorrow morning?"
spam,"DOUBLE YOUR BITCOIN in 24 hours! Guaranteed investment returns of 300% weekly!"
ham,"The server maintenance window is scheduled for this Sunday night from 2-4am."
spam,"You've been pre-approved for a $50,000 loan! No credit check required. Apply now!"
ham,"I'll be working remotely from the Chicago office next week if anyone needs to meet."
spam,"Exclusive adult content leaked! Click here to see celebrity private photos now!"
ham,"The design mockups for the new landing page are ready for your feedback."
spam,"Debt relief program! We can legally erase all your credit card debt overnight!"
ham,"Our team achieved all Q3 milestones and we're on track for the annual targets."
spam,"Send this message to 10 friends and receive $100 cash deposited into your account!"
